listing_id,price,referans_fiyat,xgb_predicted,predicted_price,price_gap,etiket,guven,knn_mod,district,neighborhood,gross_sqm,total_rooms,building_age,floor,total_floors,floor_ratio,is_in_complex,knn_mesafe
146878-65,9500000,7400000.0,9256550.0,8328275.0,0.1406924002869742,Adil fiyat,0.29,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,200.0,4,26,3.0,4.0,0.75,1,1.6842185069456392
65819-1164,11750000,7797500.0,11018223.0,9407861.5,0.24895546134474875,Pahalı,0.47,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,140.0,3,11,-1.0,10.0,-0.1,1,1.2445977602586855
109470-18,8450000,7135000.0,8074029.5,7604514.75,0.11118201197518882,Adil fiyat,0.52,ilce_ici,Başakşehir,Kayabaşı,122.0,4,6,0.0,7.0,0.0,1,1.1405514648475426
133233-164,7995000,7112500.0,7752369.0,7432434.5,0.07569060985333945,Adil fiyat,0.67,ilce_ici,Başakşehir,Başakşehir,109.0,3,6,3.0,14.0,0.21428571428571427,1,0.7785736321254039
160822-21,5150000,9200000.0,5171736.5,7185868.25,-0.28331555480438986,Ucuz / Fırsat,0.13,ilce_ici,Başakşehir,Ziya Gökalp,85.0,2,11,12.0,23.0,0.5217391304347826,1,2.068697834529846
165153-120,5750000,11100000.0,7000142.5,9050071.25,-0.3646458860752063,Ucuz / Fırsat,0.48,ilce_ici,Başakşehir,Başak,135.0,4,11,3.0,9.0,0.3333333333333333,1,1.2288939393057257
166896-7,11200000,8050000.0,10933229.0,9491614.5,0.17998892601464167,Adil fiyat,0.51,ilce_ici,Başakşehir,Başak,150.0,4,16,0.0,9.0,0.0,1,1.1489926965919888
166897-12,4500000,6000000.0,4607622.0,5303811.0,-0.15155347730151017,Adil fiyat,0.3,ilce_ici,Başakşehir,Başak,68.0,3,21,11.0,11.0,1.0,1,1.6550444257404582
158130-276,11000000,9900000.0,10839170.0,10369585.0,0.060794621964138394,Adil fiyat,0.54,ilce_ici,Başakşehir,Başak,150.0,4,16,0.0,5.0,0.0,1,1.0884335425675087
166501-18,25995000,16600000.0,24439168.0,20519584.0,0.26683854799395545,Pahalı,0.39,ilce_ici,Başakşehir,Başakşehir,253.0,6,6,7.0,15.0,0.4666666666666667,1,1.4372107511826493
